ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000136997	ENSG00000182195	0.40	PPI	undirected	PIA
ENSG00000170345	ENSG00000163867	0.40	PPI	undirected	PIA
ENSG00000135829	ENSG00000124214	0.58	PPI	undirected	PIA
ENSG00000136238	ENSG00000124214	0.43	PPI	undirected	PIA
ENSG00000140575	ENSG00000124214	0.43	PPI	undirected	PIA
ENSG00000196230	ENSG00000124214	0.43	PPI	undirected	PIA
ENSG00000137154	ENSG00000124214	0.58	PPI	undirected	PIA
ENSG00000154237	ENSG00000112208	0.44	PPI	undirected	PIA
ENSG00000154237	ENSG00000151929	0.44	PPI	undirected	PIA
ENSG00000188906	ENSG00000151929	0.44	PPI	undirected	PIA
ENSG00000135679	ENSG00000071054	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000156709	0.35	PPI	undirected	PIA
ENSG00000136997	ENSG00000131023	0.40	PPI	undirected	PIA
ENSG00000108946	ENSG00000153291	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000168309	0.44	PPI	undirected	PIA
ENSG00000135679	ENSG00000109685	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000134333	0.35	PPI	undirected	PIA
ENSG00000145335	ENSG00000198938	0.51	PPI	undirected	PIA
ENSG00000145335	ENSG00000198938	0.51	PPI	undirected	PIA
ENSG00000116288	ENSG00000142168	0.35	PPI	undirected	PIA
ENSG00000154237	ENSG00000146648	0.54	PPI	undirected	PIA
ENSG00000100941	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000138398	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000177606	ENSG00000170345	0.94	PPI	undirected	PIA
ENSG00000115561	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000131711	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000171914	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000105290	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000142192	ENSG00000170345	0.52	PPI	undirected	PIA
ENSG00000142534	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000166913	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000071859	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000198162	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000280987	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000183495	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000183431	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000182901	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000089048	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000157782	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000115053	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000108829	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000165495	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000177606	ENSG00000170345	0.94	PPI	undirected	PIA
ENSG00000052749	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000125846	ENSG00000170345	0.52	PPI	undirected	PIA
ENSG00000058272	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000004534	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000057294	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000115966	ENSG00000170345	0.52	PPI	undirected	PIA
ENSG00000015479	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000183426	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000115966	ENSG00000170345	0.52	PPI	undirected	PIA
ENSG00000177606	ENSG00000170345	0.94	PPI	undirected	PIA
ENSG00000169020	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000142864	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000156256	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000125846	ENSG00000170345	0.52	PPI	undirected	PIA
ENSG00000034510	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000182774	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000134697	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000144290	ENSG00000170345	0.40	PPI	undirected	PIA
ENSG00000169925	ENSG00000136997	0.52	PPI	undirected	PIA
ENSG00000133083	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000108312	ENSG00000136997	0.56	PPI	undirected	PIA
ENSG00000166037	ENSG00000136997	0.52	PPI	undirected	PIA
ENSG00000099194	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000169925	ENSG00000136997	0.52	PPI	undirected	PIA
ENSG00000095637	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000166037	ENSG00000136997	0.52	PPI	undirected	PIA
ENSG00000111962	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000204120	ENSG00000136997	0.40	PPI	undirected	PIA
