ensg1	ensg2	score	interaction
ENSG00000198791	ENSG00000125107	0.79	PPI
ENSG00000111596	ENSG00000125107	0.68	PPI
ENSG00000113300	ENSG00000125107	0.69	PPI
ENSG00000100354	ENSG00000125107	0.58	PPI
ENSG00000155508	ENSG00000125107	0.85	PPI
ENSG00000158435	ENSG00000125107	0.61	PPI
ENSG00000140009	ENSG00000188573	0.46	PPI
ENSG00000071051	ENSG00000162620	0.56	PPI
ENSG00000242265	ENSG00000134590	0.56	PPI
ENSG00000135018	ENSG00000134590	0.56	PPI
ENSG00000115593	ENSG00000078814	0.51	PPI
ENSG00000198919	ENSG00000134909	0.56	PPI
ENSG00000107816	ENSG00000134909	0.56	PPI
ENSG00000112559	ENSG00000134909	0.56	PPI
ENSG00000104964	ENSG00000134909	0.56	PPI
ENSG00000138443	ENSG00000134909	0.56	PPI
ENSG00000010810	ENSG00000134909	0.63	PPI
ENSG00000183735	ENSG00000198933	0.82	PPI
ENSG00000263528	ENSG00000198933	0.72	PPI
ENSG00000011132	ENSG00000198933	0.5	PPI
ENSG00000123908	ENSG00000198933	0.5	PPI
ENSG00000116903	ENSG00000181404	0.58	PPI
ENSG00000085733	ENSG00000181404	0.46	PPI
ENSG00000126581	ENSG00000181404	0.46	PPI
ENSG00000090989	ENSG00000181404	0.51	PPI
ENSG00000125814	ENSG00000092531	0.56	PPI
ENSG00000168899	ENSG00000092531	0.56	PPI
ENSG00000135604	ENSG00000092531	0.56	PPI
ENSG00000094880	ENSG00000129055	0.56	PPI
ENSG00000130402	ENSG00000101144	0.56	PPI
ENSG00000272804	ENSG00000101144	0.56	PPI
ENSG00000254997	ENSG00000101144	0.56	PPI
ENSG00000241123	ENSG00000101144	0.56	PPI
ENSG00000132938	ENSG00000101144	0.56	PPI
ENSG00000204713	ENSG00000101144	0.56	PPI
ENSG00000104969	ENSG00000181092	0.56	PPI
ENSG00000181392	ENSG00000181092	0.56	PPI
ENSG00000161609	ENSG00000181092	0.56	PPI
ENSG00000172346	ENSG00000105568	0.56	PPI
ENSG00000147400	ENSG00000198089	0.65	PPI
ENSG00000172531	ENSG00000198089	0.54	PPI
ENSG00000241123	ENSG00000197162	0.56	PPI
ENSG00000132938	ENSG00000197162	0.56	PPI
ENSG00000204371	ENSG00000197162	0.56	PPI
ENSG00000162924	ENSG00000169689	0.56	PPI
ENSG00000175279	ENSG00000169689	0.75	PPI
ENSG00000138100	ENSG00000169689	0.56	PPI
ENSG00000278637	ENSG00000129292	0.56	PPI
ENSG00000273983	ENSG00000129292	0.56	PPI
ENSG00000270882	ENSG00000129292	0.56	PPI
ENSG00000275379	ENSG00000129292	0.56	PPI
ENSG00000278828	ENSG00000129292	0.56	PPI
ENSG00000197409	ENSG00000129292	0.56	PPI
ENSG00000276180	ENSG00000129292	0.56	PPI
ENSG00000273542	ENSG00000129292	0.56	PPI
ENSG00000278705	ENSG00000129292	0.56	PPI
ENSG00000270276	ENSG00000129292	0.56	PPI
ENSG00000277775	ENSG00000129292	0.56	PPI
ENSG00000275126	ENSG00000129292	0.56	PPI
ENSG00000275714	ENSG00000129292	0.56	PPI
ENSG00000277157	ENSG00000129292	0.56	PPI
ENSG00000197061	ENSG00000129292	0.56	PPI
ENSG00000274618	ENSG00000129292	0.56	PPI
ENSG00000158406	ENSG00000129292	0.56	PPI
ENSG00000197837	ENSG00000129292	0.56	PPI
ENSG00000274267	ENSG00000129292	0.56	PPI
ENSG00000274750	ENSG00000129292	0.56	PPI
ENSG00000276966	ENSG00000129292	0.56	PPI
ENSG00000197153	ENSG00000129292	0.56	PPI
ENSG00000278272	ENSG00000129292	0.56	PPI
ENSG00000197238	ENSG00000129292	0.56	PPI
ENSG00000198932	ENSG00000196289	0.58	PPI
ENSG00000163060	ENSG00000057663	0.56	PPI
ENSG00000079999	ENSG00000057663	0.56	PPI
ENSG00000165280	ENSG00000057663	0.56	PPI
ENSG00000068024	ENSG00000125457	0.6	PPI
ENSG00000178104	ENSG00000125457	0.56	PPI
ENSG00000157349	ENSG00000125457	0.56	PPI
ENSG00000168872	ENSG00000125457	0.7	PPI
ENSG00000185359	ENSG00000125457	0.67	PPI
ENSG00000165113	ENSG00000228716	0.56	PPI
ENSG00000157110	ENSG00000100297	0.56	PPI
ENSG00000272804	ENSG00000100297	0.56	PPI
