Gene1,Gene2,Int Alz PPI(d),Int Alz PPI(j),Int all PPI(d),Int all PPI(j),CoExp(d),CoExp(j),Int syn(d),Int syn(j),Int Par PPI(d),Int Par PPI(j),Dif Co(d),Dif Co(j),Alz ptw 1,Alz ptw 2,Alz DISEASES 1,Alz DISEASES 2
ENSG00000127452,ENSG00000144476,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000134153,ENSG00000115977,0.5,0.3333333333333333,0,0,0,0,0,0,0.5,0.3333333333333333,0,0,False,False,False,False
ENSG00000164128,ENSG00000205155,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,False,True,False,True
ENSG00000169031,ENSG00000064300,0.3333333333333333,0.0,0,0,0,0,0.3333333333333333,0.0,0,0,0,0,False,False,False,True
ENSG00000138190,ENSG00000163041,0.5,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000220205,ENSG00000179262,0.2,0.0,0.2,0.0,0,0,0.0,0.0,0,0,0,0,False,False,False,False
ENSG00000100345,ENSG00000182871,0.5,0.2,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000171862,ENSG00000196230,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0,0,False,False,False,False
ENSG00000005810,ENSG00000105514,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000132002,ENSG00000262655,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000129354,ENSG00000104044,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000114491,ENSG00000096384,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000107816,ENSG00000082397,0.25,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000182871,ENSG00000189057,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000020129,ENSG00000198959,0.3333333333333333,0.0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000172638,ENSG00000105329,0.25,0.0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000197694,ENSG00000104044,0.25,0.0,0,0,0,0,0,0,0.25,0.0,0,0,False,False,False,False
ENSG00000197694,ENSG00000168036,0.3333333333333333,0.0,0.25,0.0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,False,False,False,True
ENSG00000107295,ENSG00000126545,0.2,0.0,0,0,0,0,0.14285714285714285,0.0,0,0,0,0,False,False,False,False
ENSG00000158092,ENSG00000138134,0.0,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000108242,ENSG00000172775,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000108622,ENSG00000146072,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000115414,ENSG00000144619,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000096384,ENSG00000186318,0.3333333333333333,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,False,True,False,True
