ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000171867	ENSG00000142192	0.56	PPI	undirected	ADIA
ENSG00000262655	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000138449	ENSG00000142192	0.59	PPI	undirected	ADIA
ENSG00000118137	ENSG00000142192	0.63	PPI	undirected	ADIA
ENSG00000133069	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000051128	ENSG00000142192	0.52	PPI	undirected	ADIA
ENSG00000146072	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000186868	ENSG00000142192	0.66	PPI	undirected	ADIA
ENSG00000182871	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000107282	ENSG00000142192	0.46	PPI	undirected	ADIA
ENSG00000198840	ENSG00000142192	0.52	PPI	undirected	ADIA
ENSG00000181773	ENSG00000142192	0.52	PPI	undirected	ADIA
ENSG00000084234	ENSG00000142192	0.54	PPI	undirected	ADIA
ENSG00000186868	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000107282	ENSG00000142192	0.46	PPI	undirected	ADIA
ENSG00000186868	ENSG00000142192	0.66	PPI	undirected	ADIA
ENSG00000108578	ENSG00000142192	0.53	PPI	undirected	ADIA
ENSG00000127445	ENSG00000142192	0.27	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000107959	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000138449	ENSG00000142192	0.59	PPI	undirected	ADIA
ENSG00000198840	ENSG00000142192	0.52	PPI	undirected	ADIA
ENSG00000167004	ENSG00000142192	0.50	PPI	undirected	ADIA
ENSG00000080815	ENSG00000142192	0.56	PPI	undirected	ADIA
ENSG00000125384	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000107959	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000143801	ENSG00000182333	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000277586	0.56	PPI	undirected	ADIA
ENSG00000186868	ENSG00000185624	0.46	PPI	undirected	ADIA
ENSG00000142192	ENSG00000196230	0.35	PPI	undirected	ADIA
ENSG00000142192	ENSG00000196230	0.35	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080824	0.35	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080824	0.35	PPI	undirected	ADIA
ENSG00000115414	ENSG00000137801	0.44	PPI	undirected	ADIA
ENSG00000198959	ENSG00000137801	0.44	PPI	undirected	ADIA
ENSG00000064300	ENSG00000064300	0.40	PPI	undirected	ADIA
ENSG00000186868	ENSG00000096384	0.62	PPI	undirected	ADIA
ENSG00000167755	ENSG00000134871	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000154277	0.35	PPI	undirected	ADIA
ENSG00000196365	ENSG00000138115	0.37	PPI	undirected	ADIA
ENSG00000105613	ENSG00000138115	0.37	PPI	undirected	ADIA
ENSG00000007047	ENSG00000186868	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000096384	ENSG00000186868	0.62	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000171867	ENSG00000186868	0.50	PPI	undirected	ADIA
ENSG00000007047	ENSG00000186868	0.40	PPI	undirected	ADIA
ENSG00000185624	ENSG00000186868	0.44	PPI	undirected	ADIA
ENSG00000082701	ENSG00000186868	0.74	PPI	undirected	ADIA
ENSG00000116141	ENSG00000186868	0.40	PPI	undirected	ADIA
ENSG00000082701	ENSG00000186868	0.74	PPI	undirected	ADIA
ENSG00000105723	ENSG00000186868	0.44	PPI	undirected	ADIA
ENSG00000188906	ENSG00000186868	0.68	PPI	undirected	ADIA
ENSG00000136717	ENSG00000186868	0.56	PPI	undirected	ADIA
ENSG00000136717	ENSG00000186868	0.56	PPI	undirected	ADIA
ENSG00000188906	ENSG00000186868	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000082701	ENSG00000186868	0.74	PPI	undirected	ADIA
ENSG00000164924	ENSG00000186868	0.72	PPI	undirected	ADIA
ENSG00000186868	ENSG00000186868	0.44	PPI	undirected	ADIA
ENSG00000188906	ENSG00000186868	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	undirected	ADIA
ENSG00000096384	ENSG00000186868	0.62	PPI	undirected	ADIA
ENSG00000072518	ENSG00000186868	0.59	PPI	undirected	ADIA
ENSG00000096384	ENSG00000186868	0.62	PPI	undirected	ADIA
ENSG00000185624	ENSG00000186868	0.46	PPI	undirected	ADIA
ENSG00000171867	ENSG00000186868	0.50	PPI	undirected	ADIA
ENSG00000164924	ENSG00000186868	0.72	PPI	undirected	ADIA
ENSG00000142192	ENSG00000109971	0.35	PPI	undirected	ADIA
