ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000177885	ENSG00000128641	0.35	PPI	undirected	SIA
ENSG00000113575	ENSG00000115808	0.56	PPI	undirected	SIA
ENSG00000115540	ENSG00000115808	0.66	PPI	undirected	SIA
ENSG00000009790	ENSG00000115808	0.50	PPI	undirected	SIA
ENSG00000143079	ENSG00000115808	0.71	PPI	undirected	SIA
ENSG00000196792	ENSG00000115808	0.75	PPI	undirected	SIA
ENSG00000143079	ENSG00000115808	0.71	PPI	undirected	SIA
ENSG00000090372	ENSG00000115808	0.53	PPI	undirected	SIA
ENSG00000115694	ENSG00000115808	0.62	PPI	undirected	SIA
ENSG00000115540	ENSG00000115808	0.66	PPI	undirected	SIA
ENSG00000077063	ENSG00000115808	0.53	PPI	undirected	SIA
ENSG00000113575	ENSG00000115808	0.56	PPI	undirected	SIA
ENSG00000143093	ENSG00000115808	0.62	PPI	undirected	SIA
ENSG00000105568	ENSG00000115808	0.66	PPI	undirected	SIA
ENSG00000104695	ENSG00000115808	0.35	PPI	undirected	SIA
ENSG00000134602	ENSG00000115808	0.71	PPI	undirected	SIA
ENSG00000114209	ENSG00000115808	0.62	PPI	undirected	SIA
ENSG00000196792	ENSG00000115808	0.75	PPI	undirected	SIA
ENSG00000052723	ENSG00000115808	0.53	PPI	undirected	SIA
ENSG00000105568	ENSG00000115808	0.66	PPI	undirected	SIA
ENSG00000134602	ENSG00000115808	0.71	PPI	undirected	SIA
ENSG00000102572	ENSG00000115808	0.72	PPI	undirected	SIA
ENSG00000115540	ENSG00000115808	0.66	PPI	undirected	SIA
ENSG00000143093	ENSG00000115808	0.62	PPI	undirected	SIA
ENSG00000001626	ENSG00000128595	0.35	PPI	undirected	SIA
ENSG00000128245	ENSG00000129250	0.35	PPI	undirected	SIA
ENSG00000117560	ENSG00000160145	0.44	PPI	undirected	SIA
ENSG00000133398	ENSG00000180182	0.71	PPI	undirected	SIA
ENSG00000133398	ENSG00000180182	0.71	PPI	undirected	SIA
ENSG00000063322	ENSG00000180182	0.35	PPI	undirected	SIA
ENSG00000155111	ENSG00000180182	0.56	PPI	undirected	SIA
ENSG00000156603	ENSG00000180182	0.64	PPI	undirected	SIA
ENSG00000105085	ENSG00000180182	0.53	PPI	undirected	SIA
ENSG00000141026	ENSG00000180182	0.53	PPI	undirected	SIA
ENSG00000153201	ENSG00000185345	0.64	PPI	undirected	SIA
ENSG00000153201	ENSG00000185345	0.64	PPI	undirected	SIA
ENSG00000177885	ENSG00000153147	0.35	PPI	undirected	SIA
ENSG00000100154	ENSG00000106479	0.37	PPI	undirected	SIA
ENSG00000146776	ENSG00000106479	0.37	PPI	undirected	SIA
ENSG00000171862	ENSG00000099308	0.59	PPI	undirected	SIA
ENSG00000128245	ENSG00000099308	0.35	PPI	undirected	SIA
ENSG00000128245	ENSG00000054523	0.35	PPI	undirected	SIA
ENSG00000128245	ENSG00000136111	0.35	PPI	undirected	SIA
ENSG00000183495	ENSG00000136111	0.37	PPI	undirected	SIA
ENSG00000163714	ENSG00000136111	0.37	PPI	undirected	SIA
ENSG00000168769	ENSG00000136111	0.37	PPI	undirected	SIA
ENSG00000198087	ENSG00000105856	0.37	PPI	undirected	SIA
ENSG00000096717	ENSG00000135316	0.40	PPI	undirected	SIA
ENSG00000188486	ENSG00000135316	0.35	PPI	undirected	SIA
ENSG00000128245	ENSG00000166923	0.59	PPI	undirected	SIA
ENSG00000128245	ENSG00000166923	0.59	PPI	undirected	SIA
ENSG00000128245	ENSG00000166923	0.59	PPI	undirected	SIA
ENSG00000128245	ENSG00000166923	0.59	PPI	undirected	SIA
ENSG00000128245	ENSG00000166923	0.59	PPI	undirected	SIA
ENSG00000128245	ENSG00000135930	0.35	PPI	undirected	SIA
ENSG00000142082	ENSG00000109814	0.40	PPI	undirected	SIA
ENSG00000177885	ENSG00000109814	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000198561	0.35	PPI	undirected	SIA
ENSG00000146648	ENSG00000198561	0.66	PPI	undirected	SIA
ENSG00000146648	ENSG00000198561	0.66	PPI	undirected	SIA
ENSG00000039319	ENSG00000100284	0.65	PPI	undirected	SIA
ENSG00000039319	ENSG00000100284	0.65	PPI	undirected	SIA
ENSG00000039319	ENSG00000100284	0.65	PPI	undirected	SIA
ENSG00000039319	ENSG00000100284	0.65	PPI	undirected	SIA
ENSG00000102189	ENSG00000100284	0.40	PPI	undirected	SIA
ENSG00000039319	ENSG00000100284	0.65	PPI	undirected	SIA
ENSG00000128245	ENSG00000123836	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000130826	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000130826	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000069345	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000069345	0.35	PPI	undirected	SIA
ENSG00000146648	ENSG00000069345	0.53	PPI	undirected	SIA
ENSG00000001626	ENSG00000069345	0.35	PPI	undirected	SIA
ENSG00000134698	ENSG00000069345	0.35	PPI	undirected	SIA
ENSG00000170248	ENSG00000076356	0.37	PPI	undirected	SIA
ENSG00000103888	ENSG00000076356	0.37	PPI	undirected	SIA
ENSG00000109920	ENSG00000076356	0.37	PPI	undirected	SIA
ENSG00000143569	ENSG00000076356	0.37	PPI	undirected	SIA
ENSG00000137486	ENSG00000162512	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000162512	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000071127	0.55	PPI	undirected	SIA
ENSG00000095397	ENSG00000134569	0.37	PPI	undirected	SIA
ENSG00000137486	ENSG00000134569	0.35	PPI	undirected	SIA
ENSG00000128245	ENSG00000163539	0.35	PPI	undirected	SIA
ENSG00000113575	ENSG00000177380	0.46	PPI	undirected	SIA
ENSG00000113575	ENSG00000177380	0.46	PPI	undirected	SIA
ENSG00000163558	ENSG00000146729	0.35	PPI	undirected	SIA
ENSG00000105568	ENSG00000139220	0.35	PPI	undirected	SIA
ENSG00000113575	ENSG00000139220	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000249915	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000249915	0.35	PPI	undirected	SIA
ENSG00000188486	ENSG00000249915	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000136068	0.56	PPI	undirected	SIA
ENSG00000198794	ENSG00000117533	0.35	PPI	undirected	SIA
ENSG00000063322	ENSG00000008838	0.35	PPI	undirected	SIA
ENSG00000155111	ENSG00000008838	0.56	PPI	undirected	SIA
ENSG00000133398	ENSG00000008838	0.71	PPI	undirected	SIA
ENSG00000141026	ENSG00000008838	0.53	PPI	undirected	SIA
ENSG00000133398	ENSG00000008838	0.71	PPI	undirected	SIA
ENSG00000156603	ENSG00000008838	0.53	PPI	undirected	SIA
ENSG00000105085	ENSG00000008838	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000188529	0.35	PPI	undirected	SIA
ENSG00000142192	ENSG00000146072	0.61	PPI	undirected	SIA
ENSG00000142192	ENSG00000146072	0.61	PPI	undirected	SIA
ENSG00000141480	ENSG00000115524	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000115524	0.35	PPI	undirected	SIA
ENSG00000117560	ENSG00000005020	0.44	PPI	undirected	SIA
ENSG00000177885	ENSG00000005020	0.35	PPI	undirected	SIA
ENSG00000155111	ENSG00000133997	0.56	PPI	undirected	SIA
ENSG00000105085	ENSG00000133997	0.53	PPI	undirected	SIA
ENSG00000133398	ENSG00000133997	0.77	PPI	undirected	SIA
ENSG00000063322	ENSG00000133997	0.67	PPI	undirected	SIA
ENSG00000156603	ENSG00000133997	0.64	PPI	undirected	SIA
ENSG00000133398	ENSG00000133997	0.77	PPI	undirected	SIA
ENSG00000141026	ENSG00000133997	0.53	PPI	undirected	SIA
ENSG00000160293	ENSG00000141198	0.51	PPI	undirected	SIA
ENSG00000137486	ENSG00000138032	0.50	PPI	undirected	SIA
ENSG00000160293	ENSG00000138032	0.37	PPI	undirected	SIA
ENSG00000137486	ENSG00000138032	0.50	PPI	undirected	SIA
ENSG00000137486	ENSG00000138032	0.50	PPI	undirected	SIA
ENSG00000141480	ENSG00000138032	0.64	PPI	undirected	SIA
ENSG00000137486	ENSG00000138032	0.50	PPI	undirected	SIA
ENSG00000141480	ENSG00000138032	0.64	PPI	undirected	SIA
ENSG00000146648	ENSG00000137936	0.35	PPI	undirected	SIA
ENSG00000146648	ENSG00000137936	0.35	PPI	undirected	SIA
ENSG00000029725	ENSG00000213983	0.51	PPI	undirected	SIA
ENSG00000146648	ENSG00000115145	0.46	PPI	undirected	SIA
ENSG00000174791	ENSG00000115145	0.56	PPI	undirected	SIA
ENSG00000125124	ENSG00000137312	0.44	PPI	undirected	SIA
ENSG00000142192	ENSG00000137312	0.58	PPI	undirected	SIA
ENSG00000142192	ENSG00000137312	0.58	PPI	undirected	SIA
ENSG00000165029	ENSG00000107186	0.40	PPI	undirected	SIA
ENSG00000177885	ENSG00000006059	0.35	PPI	undirected	SIA
ENSG00000085832	ENSG00000006059	0.35	PPI	undirected	SIA
ENSG00000085832	ENSG00000126337	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000126337	0.35	PPI	undirected	SIA
ENSG00000156603	ENSG00000171490	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000109501	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000166855	0.35	PPI	undirected	SIA
ENSG00000137478	ENSG00000174780	0.37	PPI	undirected	SIA
ENSG00000133398	ENSG00000108469	0.35	PPI	undirected	SIA
ENSG00000105085	ENSG00000108469	0.35	PPI	undirected	SIA
ENSG00000136044	ENSG00000149480	0.35	PPI	undirected	SIA
ENSG00000157500	ENSG00000149480	0.46	PPI	undirected	SIA
ENSG00000157500	ENSG00000149480	0.46	PPI	undirected	SIA
ENSG00000157500	ENSG00000149480	0.46	PPI	undirected	SIA
ENSG00000220205	ENSG00000115825	0.62	PPI	undirected	SIA
ENSG00000220205	ENSG00000115825	0.62	PPI	undirected	SIA
ENSG00000220205	ENSG00000115825	0.62	PPI	undirected	SIA
ENSG00000220205	ENSG00000115825	0.62	PPI	undirected	SIA
ENSG00000154127	ENSG00000176658	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000176658	0.35	PPI	undirected	SIA
ENSG00000166226	ENSG00000137478	0.37	PPI	undirected	SIA
ENSG00000163001	ENSG00000137478	0.37	PPI	undirected	SIA
ENSG00000151276	ENSG00000137478	0.62	PPI	undirected	SIA
ENSG00000165280	ENSG00000137478	0.51	PPI	undirected	SIA
ENSG00000110721	ENSG00000137478	0.37	PPI	undirected	SIA
ENSG00000177994	ENSG00000137478	0.37	PPI	undirected	SIA
ENSG00000108953	ENSG00000058091	0.51	PPI	undirected	SIA
ENSG00000166913	ENSG00000058091	0.58	PPI	undirected	SIA
ENSG00000134308	ENSG00000058091	0.51	PPI	undirected	SIA
ENSG00000166913	ENSG00000058091	0.58	PPI	undirected	SIA
ENSG00000128245	ENSG00000058091	0.51	PPI	undirected	SIA
