Gene1,Gene2,Int Alz PPI(d),Int Alz PPI(j),Int all PPI(d),Int all PPI(j),CoExp(d),CoExp(j),Int syn(d),Int syn(j),Int Par PPI(d),Int Par PPI(j),Dif Co(d),Dif Co(j),Alz ptw 1,Alz ptw 2,Alz DISEASES 1,Alz DISEASES 2
ENSG00000160087,ENSG00000159363,1.0,0.046511627906976744,0,0,0,0,0,0,1.0,0.046511627906976744,0,0,False,False,False,False
ENSG00000020129,ENSG00000175899,1.0,0.07692307692307693,0.0,0.0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000105649,ENSG00000105613,1.0,0.06060606060606061,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000105649,ENSG00000080815,1.0,0.07407407407407407,0.25,0.0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000169031,ENSG00000167755,1.0,0.18181818181818182,0,0,0,0,1.0,0.18181818181818182,0,0,0,0,False,False,False,False
ENSG00000111640,ENSG00000080815,1.0,0.07692307692307693,0.3333333333333333,0.0,0,0,0.3333333333333333,0.0,0,0,0,0,True,True,False,True
ENSG00000138109,ENSG00000105401,1.0,0.11538461538461539,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000138109,ENSG00000105613,1.0,0.08823529411764706,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000138109,ENSG00000105982,1.0,0.11538461538461539,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000138109,ENSG00000105514,1.0,0.5,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000149972,ENSG00000105290,1.0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000214253,ENSG00000164867,1.0,0.08,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000137801,ENSG00000115414,1.0,0.4,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000072110,ENSG00000080815,1.0,0.07692307692307693,0.25,0.0,0,0,0.25,0.0,0,0,0,0,False,True,False,True
ENSG00000129354,ENSG00000105613,1.0,0.125,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196361,ENSG00000105401,1.0,0.19230769230769232,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196361,ENSG00000105613,1.0,0.14705882352941177,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196361,ENSG00000164867,1.0,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196361,ENSG00000105982,1.0,0.24,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196361,ENSG00000175899,1.0,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000188153,ENSG00000167755,1.0,0.18181818181818182,0,0,0,0,1.0,0.18181818181818182,0,0,0,0,False,False,False,False
ENSG00000116141,ENSG00000186868,1.0,0.14285714285714285,0.5,0.1,0,0,0.3333333333333333,0.0,0,0,0,0,False,True,False,True
ENSG00000136717,ENSG00000186868,1.0,0.14285714285714285,0.2,0.0,0,0,0.3333333333333333,0.0,1.0,0.14285714285714285,0,0,False,True,True,True
ENSG00000166313,ENSG00000084234,1.0,0.5,0.25,0.0,0,0,1.0,0.3333333333333333,0,0,0,0,True,False,True,True
ENSG00000070018,ENSG00000159363,1.0,0.046511627906976744,0.3333333333333333,0.0,0,0,0,0,1.0,0.045454545454545456,0,0,False,False,False,False
ENSG00000198408,ENSG00000105401,1.0,0.11538461538461539,0,0,0,0,0,0,0.25,0.0,0,0,False,False,False,False
ENSG00000198408,ENSG00000105613,1.0,0.08823529411764706,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000198408,ENSG00000105982,1.0,0.16,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000198408,ENSG00000175899,1.0,0.14814814814814814,0,0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000133069,ENSG00000130203,1.0,0.13333333333333333,1.0,0.25,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000127452,ENSG00000105401,1.0,0.11538461538461539,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000127452,ENSG00000105613,1.0,0.08823529411764706,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000127452,ENSG00000105982,1.0,0.16,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000127452,ENSG00000143801,1.0,0.2222222222222222,0.25,0.0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000115380,ENSG00000164867,1.0,0.08,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000108578,ENSG00000105613,1.0,0.15151515151515152,0.2,0.0,0,0,0,0,0,0,0,0,False,False,True,False
ENSG00000108578,ENSG00000105982,1.0,0.15384615384615385,0.25,0.0,0,0,0,0,0,0,0,0,False,False,True,False
ENSG00000108578,ENSG00000138115,1.0,0.3,0,0,0,0,0,0,0,0,0,0,False,False,True,False
ENSG00000107829,ENSG00000105401,1.0,0.16,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000107829,ENSG00000105613,1.0,0.08823529411764706,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000107829,ENSG00000105982,1.0,0.16,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000197694,ENSG00000084764,1.0,0.5,0.3333333333333333,0.0,0,0,0,0,1.0,0.3333333333333333,0,0,False,False,False,False
ENSG00000119917,ENSG00000119917,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,False,False,False,False
ENSG00000119917,ENSG00000105401,1.0,0.2692307692307692,1.0,0.04878048780487805,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000119917,ENSG00000105613,1.0,0.24242424242424243,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000119917,ENSG00000196365,1.0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000119917,ENSG00000179262,1.0,0.46153846153846156,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000119917,ENSG00000175899,1.0,0.2962962962962963,0.0,0.0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000119917,ENSG00000130203,1.0,0.2777777777777778,0.5,0.06666666666666667,0,0,0,0,0,0,0.0,0.0,False,True,False,True
ENSG00000105401,ENSG00000132002,1.0,0.1111111111111111,1.0,0.05555555555555555,0,0,0.25,0.0,0,0,0,0,False,False,False,False
ENSG00000105401,ENSG00000133246,1.0,0.19230769230769232,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000105401,ENSG00000164867,1.0,0.11363636363636363,1.0,0.075,0,0,0,0,0,0,0,0,False,False,False,False
