ensg1	ensg2
ENSG00000034510	ENSG00000101439
ENSG00000034510	ENSG00000130203
ENSG00000034510	ENSG00000138134
ENSG00000034510	ENSG00000150551
ENSG00000034510	ENSG00000166783
ENSG00000034510	ENSG00000203685
ENSG00000034510	ENSG00000215790
ENSG00000035862	ENSG00000159720
ENSG00000036530	ENSG00000054277
ENSG00000036530	ENSG00000067992
ENSG00000036530	ENSG00000068078
ENSG00000036530	ENSG00000073756
ENSG00000036530	ENSG00000075461
ENSG00000036530	ENSG00000092068
ENSG00000036530	ENSG00000104361
ENSG00000036530	ENSG00000111696
ENSG00000036530	ENSG00000113327
ENSG00000036530	ENSG00000114948
ENSG00000036530	ENSG00000123119
ENSG00000036530	ENSG00000131773
ENSG00000036530	ENSG00000132613
ENSG00000036530	ENSG00000132692
ENSG00000036530	ENSG00000133083
ENSG00000036530	ENSG00000139190
ENSG00000036530	ENSG00000144230
ENSG00000036530	ENSG00000147416
ENSG00000036530	ENSG00000156471
ENSG00000036530	ENSG00000157219
ENSG00000036530	ENSG00000165795
ENSG00000036530	ENSG00000167703
ENSG00000036530	ENSG00000176928
ENSG00000036530	ENSG00000213190
ENSG00000038427	ENSG00000104888
ENSG00000038427	ENSG00000106367
ENSG00000038427	ENSG00000111696
ENSG00000038427	ENSG00000117069
ENSG00000038427	ENSG00000154277
ENSG00000038427	ENSG00000157152
ENSG00000038427	ENSG00000186642
ENSG00000038427	ENSG00000221890
ENSG00000038945	ENSG00000157404
ENSG00000038945	ENSG00000172137
ENSG00000038945	ENSG00000178568
ENSG00000038945	ENSG00000189056
ENSG00000040731	ENSG00000159720
ENSG00000041353	ENSG00000211445
ENSG00000042980	ENSG00000094916
ENSG00000042980	ENSG00000102760
ENSG00000043462	ENSG00000164106
ENSG00000044574	ENSG00000157404
ENSG00000044574	ENSG00000189056
ENSG00000046889	ENSG00000109846
ENSG00000047457	ENSG00000127951
ENSG00000047457	ENSG00000149131
ENSG00000047457	ENSG00000155850
ENSG00000047648	ENSG00000186642
ENSG00000047648	ENSG00000198216
ENSG00000049759	ENSG00000100167
ENSG00000049759	ENSG00000104888
ENSG00000049759	ENSG00000154277
ENSG00000049759	ENSG00000186642
ENSG00000049759	ENSG00000213190
ENSG00000050748	ENSG00000154277
ENSG00000050748	ENSG00000198626
ENSG00000053438	ENSG00000070540
ENSG00000053438	ENSG00000102879
ENSG00000053438	ENSG00000120129
ENSG00000053438	ENSG00000169508
ENSG00000053438	ENSG00000170091
ENSG00000053438	ENSG00000171223
ENSG00000053438	ENSG00000173376
ENSG00000053438	ENSG00000173915
ENSG00000053438	ENSG00000186642
ENSG00000053438	ENSG00000198216
ENSG00000053524	ENSG00000143429
ENSG00000054277	ENSG00000055163
ENSG00000054277	ENSG00000058668
ENSG00000054277	ENSG00000069424
ENSG00000054277	ENSG00000073969
ENSG00000054277	ENSG00000078725
ENSG00000054277	ENSG00000083720
ENSG00000054277	ENSG00000099308
ENSG00000054277	ENSG00000100167
ENSG00000054277	ENSG00000104888
ENSG00000054277	ENSG00000105223
ENSG00000054277	ENSG00000105409
ENSG00000054277	ENSG00000106367
ENSG00000054277	ENSG00000108309
ENSG00000054277	ENSG00000111696
ENSG00000054277	ENSG00000114573
ENSG00000054277	ENSG00000117069
ENSG00000054277	ENSG00000119125
ENSG00000054277	ENSG00000122733
ENSG00000054277	ENSG00000124785
ENSG00000054277	ENSG00000125814
ENSG00000054277	ENSG00000125841
ENSG00000054277	ENSG00000132932
ENSG00000054277	ENSG00000134121
