"","Gene1","Gene2","Int.Alz.PPI.d.","Int.Alz.PPI.j.","Int.all.PPI.d.","Int.all.PPI.j.","CoExp.d.","CoExp.j.","Int.syn.d.","Int.syn.j.","Int.Par.PPI.d.","Int.Par.PPI.j.","Dif.Co.d.","Dif.Co.j.","Alz.ptw.1","Alz.ptw.2","Alz.DISEASES.1","Alz.DISEASES.2"
"85","ENSG00000167815","ENSG00000105401",1,0.185185185185185,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"86","ENSG00000167815","ENSG00000105613",1,0.176470588235294,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"87","ENSG00000167815","ENSG00000105982",1,0.230769230769231,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"88","ENSG00000167815","ENSG00000175899",1,0.214285714285714,0,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"89","ENSG00000167815","ENSG00000138190",1,0.285714285714286,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"90","ENSG00000138613","ENSG00000143801",1,0.117647058823529,0,0,0,0,0,0,0,0,0,0,"True","True","True","True"
"91","ENSG00000115468","ENSG00000080815",1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"92","ENSG00000005810","ENSG00000159363",1,0.0465116279069767,0.25,0,0,0,0,0,1,0.0465116279069767,0,0,"False","False","False","False"
"93","ENSG00000171311","ENSG00000105401",1,0.148148148148148,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"94","ENSG00000171311","ENSG00000105613",1,0.147058823529412,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"95","ENSG00000171311","ENSG00000105982",1,0.192307692307692,0.333333333333333,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"96","ENSG00000171311","ENSG00000175899",1,0.178571428571429,0,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"97","ENSG00000171311","ENSG00000138190",1,0.307692307692308,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"98","ENSG00000152778","ENSG00000119917",1,0.583333333333333,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"99","ENSG00000152778","ENSG00000105401",1,0.307692307692308,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"100","ENSG00000152778","ENSG00000105613",1,0.235294117647059,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"101","ENSG00000152778","ENSG00000105982",1,0.307692307692308,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"102","ENSG00000152778","ENSG00000196365",1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"103","ENSG00000152778","ENSG00000179262",1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"104","ENSG00000152778","ENSG00000175899",1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"106","ENSG00000142192","ENSG00000175344",1,0.0266666666666667,1,0.0714285714285714,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"107","ENSG00000142192","ENSG00000078596",1,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"108","ENSG00000142192","ENSG00000154917",1,0.04,0,0,0,0,0,0,1,0.176470588235294,0,0,"True","False","True","False"
"109","ENSG00000142192","ENSG00000198840",1,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"110","ENSG00000142192","ENSG00000137801",1,0.0526315789473684,0.5,0.032258064516129,0,0,0,0,0,0,0,0,"True","False","True","False"
"111","ENSG00000142192","ENSG00000137312",1,0.0266666666666667,1,0.0666666666666667,0,0,1,0.0384615384615385,0,0,0,0,"True","False","True","False"
"112","ENSG00000142192","ENSG00000129354",1,0.0394736842105263,0.25,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"113","ENSG00000142192","ENSG00000186318",1,0.0266666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,"True","True","True","True"
"114","ENSG00000142192","ENSG00000197442",1,0.0266666666666667,1,0.0465116279069767,0,0,1,0.0566037735849057,0,0,0,0,"True","False","True","False"
"115","ENSG00000142192","ENSG00000100345",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0377358490566038,0,0,0,0,"True","False","True","False"
"116","ENSG00000142192","ENSG00000092969",1,0.0266666666666667,1,0.0714285714285714,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"117","ENSG00000142192","ENSG00000166313",1,0.04,1,0.0689655172413793,0,0,1,0.0408163265306122,0,0,0,0,"True","True","True","True"
"118","ENSG00000142192","ENSG00000133069",1,0.0263157894736842,0.25,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"119","ENSG00000142192","ENSG00000171314",1,0.0266666666666667,0.2,0,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"120","ENSG00000142192","ENSG00000196712",1,0.0266666666666667,1,0.0689655172413793,0,0,1,0.0408163265306122,0,0,0,0,"True","False","True","False"
"121","ENSG00000142192","ENSG00000108578",1,0.051948051948052,0.25,0,0,0,0,0,0,0,0,0,"True","False","True","True"
"122","ENSG00000142192","ENSG00000197694",1,0.0263157894736842,0.2,0,0,0,1,0.0357142857142857,0.333333333333333,0,0,0,"True","False","True","False"
"123","ENSG00000142192","ENSG00000119917",1,0.0632911392405063,1,0.0588235294117647,0,0,0,0,0,0,0,0,"True","False","True","False"
"124","ENSG00000142192","ENSG00000105401",1,0.0645161290322581,0.5,0.0327868852459016,0,0,0.333333333333333,0,0.333333333333333,0,0,0,"True","False","True","False"
"125","ENSG00000142192","ENSG00000188157",1,0.0266666666666667,0.2,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"126","ENSG00000142192","ENSG00000196230",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0545454545454545,0.5,0.0909090909090909,0,0,"True","False","True","False"
"127","ENSG00000142192","ENSG00000151694",1,0.0266666666666667,0.25,0,0,0,1,0.0416666666666667,0,0,0,0,"True","True","True","True"
"128","ENSG00000142192","ENSG00000113108",1,0.04,0.25,0,0,0,1,0.0408163265306122,0,0,0,0,"True","False","True","True"
"129","ENSG00000142192","ENSG00000137486",1,0.051948051948052,0.5,0.0172413793103448,0,0,0.5,0.0414746543778802,1,0.210526315789474,0,0,"True","False","True","False"
"130","ENSG00000142192","ENSG00000105613",1,0.0918367346938776,0.333333333333333,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"131","ENSG00000142192","ENSG00000133246",1,0.0933333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"132","ENSG00000142192","ENSG00000127445",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"133","ENSG00000142192","ENSG00000080824",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0535714285714286,0.5,0.0454545454545455,0,0,"True","False","True","False"
"134","ENSG00000142192","ENSG00000051128",1,0.0266666666666667,0.25,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"135","ENSG00000142192","ENSG00000073969",1,0.0266666666666667,0.25,0,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"136","ENSG00000142192","ENSG00000064300",1,0.0266666666666667,1,0.0645161290322581,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","True"
"137","ENSG00000142192","ENSG00000146072",1,0.0266666666666667,1,0.0714285714285714,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"138","ENSG00000142192","ENSG00000197971",1,0.0266666666666667,0.166666666666667,0,0,0,1,0.0416666666666667,0.25,0,0,0,"True","False","True","False"
"139","ENSG00000142192","ENSG00000075624",1,0.0263157894736842,0.333333333333333,0,0,0,1,0.0393700787401575,0.333333333333333,0,0,0,"True","False","True","True"
"140","ENSG00000142192","ENSG00000109846",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"141","ENSG00000142192","ENSG00000196262",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0384615384615385,0,0,0,0,"True","False","True","False"
"142","ENSG00000142192","ENSG00000262655",1,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"143","ENSG00000142192","ENSG00000105982",1,0.0760869565217391,0.25,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"144","ENSG00000142192","ENSG00000105723",1,0.04,0.25,0,0,0,1,0.0625,1,0.176470588235294,0,0,"True","False","True","False"
"145","ENSG00000142192","ENSG00000114841",1,0.0266666666666667,0,0,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
